id;region;target;policy;variable;period;value
2;CHN;2°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);baseline;187,1612
184;CHN;2°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;147,9209
186;CHN;2°C, full CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;205,421875
188;CHN;2°C, full CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;237,5056
190;CHN;2°C, full CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;269,975225
192;CHN;2°C, red. CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;147,9209
194;CHN;2°C, red. CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;205,421875
196;CHN;2°C, red. CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;237,5056
198;CHN;2°C, red. CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;275,256225
200;CHN;1.5°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;147,9209
202;CHN;1.5°C, full CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;205,421875
204;CHN;1.5°C, full CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;237,5056
206;CHN;1.5°C, full CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;295,0435
208;CHN;1.5°C, red. CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;267,74475
366;CHN;2°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;325,099525
368;CHN;2°C, full CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;312,8395625
370;CHN;2°C, full CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;306,292275
372;CHN;2°C, full CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;298,67015
374;CHN;2°C, red. CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;262,1269
376;CHN;2°C, red. CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;269,7389125
378;CHN;2°C, red. CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;266,74695
380;CHN;2°C, red. CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;277,3646625
382;CHN;1.5°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;313,898525
384;CHN;1.5°C, full CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;303,4778125
386;CHN;1.5°C, full CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;299,808425
388;CHN;1.5°C, full CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;293,3671
390;CHN;1.5°C, red. CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;190,33675
28;EUR;2°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);baseline;48,2612
210;EUR;2°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;87,850475
212;EUR;2°C, full CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;84,774725
214;EUR;2°C, full CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;86,0676
216;EUR;2°C, full CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;100,754425
218;EUR;2°C, red. CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;87,850475
220;EUR;2°C, red. CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;84,774725
222;EUR;2°C, red. CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;86,0676
224;EUR;2°C, red. CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;111,0454
226;EUR;1.5°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;87,850475
228;EUR;1.5°C, full CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;84,774725
230;EUR;1.5°C, full CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;86,0676
232;EUR;1.5°C, full CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;117,054825
234;EUR;1.5°C, red. CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;162,02245
392;EUR;2°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;142,6783375
394;EUR;2°C, full CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;136,7525625
396;EUR;2°C, full CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;126,958575
398;EUR;2°C, full CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;131,511175
400;EUR;2°C, red. CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;183,3598875
402;EUR;2°C, red. CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;173,14505
404;EUR;2°C, red. CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;161,0337875
406;EUR;2°C, red. CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;145,4367125
408;EUR;1.5°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;161,57245
410;EUR;1.5°C, full CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;157,3904125
412;EUR;1.5°C, full CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;144,845175
414;EUR;1.5°C, full CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;143,252825
416;EUR;1.5°C, red. CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;185,282125
54;IND;2°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);baseline;12,2376
236;IND;2°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;49,874575
238;IND;2°C, full CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;55,55165
240;IND;2°C, full CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;67,4774
242;IND;2°C, full CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;98,701475
244;IND;2°C, red. CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;49,874575
246;IND;2°C, red. CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;55,55165
248;IND;2°C, red. CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;67,4774
250;IND;2°C, red. CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;113,1664
252;IND;1.5°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;49,874575
254;IND;1.5°C, full CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;55,55165
256;IND;1.5°C, full CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;67,4774
258;IND;1.5°C, full CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;117,44305
260;IND;1.5°C, red. CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;141,728625
418;IND;2°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;222,12665
420;IND;2°C, full CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;201,3585375
422;IND;2°C, full CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;204,3349375
424;IND;2°C, full CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;213,0548875
